name,state,party
Tammy Baldwin,Wisconsin,Democratic
John Barrasso,Wyoming,Republican
Michael F. Bennet,Colorado,Democratic
Marsha Blackburn,Tennessee,Republican
Richard Blumenthal,Connecticut,Democratic
Roy Blunt,Missouri,Republican
Cory A. Booker,New Jersey,Democratic
John Boozman,Arkansas,Republican
Mike Braun,Indiana,Republican
Sherrod Brown,Ohio,Democratic
Richard Burr,North Carolina,Republican
Maria Cantwell,Washington,Democratic
Shelley Moore Capito,West Virginia,Republican
Benjamin L. Cardin,Maryland,Democratic
Thomas R. Carper,Delaware,Democratic
"Robert P. Casey, Jr. ",Pennsylvania,Democratic
Bill Cassidy,Lousiana,Republican
Susan Collins,Maine,Republican
Christopher A. Coons,Delaware,Democratic
John Cornyn,Texas,Republican
Catherine Cortez Masto,Nevada,Democratic
Tom Cotton,Arkansas,Republican
Kevin Cramer,North Dakota,Republican
Mike Crapo,Idaho,Republican
Ted Cruz,Texas,Republican
Steve Daines,Montana,Republican
Tammy Duckworth,Illinois,Democratic
Richard J. Durbin,Illinois,Democratic
Joni Ernst,Iowa,Republican
Dianne Feinstein,California,Democratic
Deb Fischer,Nebraska,Republican
Kirsten E. Gillibrand,New York,Democratic
Lindsey Graham,South Carolina,Republican
Chuck Grassley,Iowa,Republican
Bill Hagerty,Tennessee,Republican
Margaret Wood Hassan,New Hampshire,Democratic
Josh Hawley,Missouri,Republican
Martin Heinrich,New Mexico,Democratic
John W. Hickenlooper,Colorado,Democratic
Maize K. Hirono,Hawaii,Democratic
John Hoeven,North Dakota,Republican
Cindy Hyde-Smith,Mississippi,Republican
James M. Inhofe,Oklahoma,Republican
Ron Johnson,Wisconsin,Republican
Tim Kaine,Virginia,Democratic
Mark Kelly,Arizona,Democratic
John Kennedy,Lousiana,Republican
"Angus S. King, Jr.",Maine,Independent
Amy Klobuchar,Minnesota,Democratic
James Lankford,Oklahoma,Republican
Patrick J. Leahy,Vermont,Democratic
Mike Lee,Utah,Republican
Ben Ray Lujan,New Mexico,Democratic
Cynthia M. Lummis,Wyoming,Republican
Joe Manchin III,West Virginia,Democratic
Edward J. Markey,Massachusetts,Democratic
Roger Marshall,Kansas,Republican
Mitch McConnell,Kentucky,Republican
Robert Menendez,New Jersey,Democratic
Jeff Merkley,Oregon,Democratic
Jerry Moran,Kansas,Republican
Lisa Murkowski,Alaska,Republican
Christopher Murphy,Connecticut,Democratic
Patty Murray,Washington,Democratic
Jon Ossoff,Georgia,Democratic
Alex Padilla,California,Democratic
Rand Paul,Kentucky,Republican
Gary C. Peters,Michigan,Democratic
Rob Portman,Ohio,Republican
Jack Reed,Rhode Island,Democratic
James E. Risch,Idaho,Republican
Mitt Romney,Utah,Republican
Jacky Rosen,Nevada,Democratic
Mike Rounds,South Dakota,Republican
Marco Rubio,Florida,Republican
Bernard Sanders,Vermont,Independent
Ben Sasse,Nebraska,Republican
Brian Schatz,Hawaii,Democratic
Charles E. Schumer,New York,Democratic
Rick Scott,Florida,Republican
Tim Scott,South Carolina,Republican
Jeanne Shaheen,New Hampshire,Democratic
Richard C. Shelby,Alabama,Republican
Kyrsten Sinema,Arizona,Democratic
Tina Smith,Minnesota,Democratic
Debbie Stabenow,Michigan,Democratic
Dan Sullivan,Alaska,Republican
Jon Tester,Montana,Democratic
John Thune,South Dakota,Republican
Thom Tillis,North Carolina,Republican
Patrick J. Toomey,Pennsylvania,Republican
Tommy Tuberville,Alabama,Republican
Chris Van Hollen,Maryland,Democratic
Mark R. Warner,Virginia,Democratic
Raphael G. Warnock,Georgia,Democratic
Elizabeth Warren,Massachusetts,Democratic
Sheldon Whitehouse,Rhode Island,Democratic
Roger F. Wicker,Mississippi,Republican
Ron Wyden,Oregon,Democratic
Todd Young,Indiana,Republican
